<log_agent版本号>2.0.0</log_agent版本号>
<项目名称>electricBinary</项目名称>
<用例场景>main.java.*</用例场景>
new|Node1|COMMON|main.java.start|start|main(java.lang.String[])|START|129497533122|1||public,start,|public static,void,main,java.lang.String[]||
new|Node1|CONSTRUCTION|main.java.method|generalResult|generalResult()|START|129758207330|1||public,generalResult,|public static,java.lang.String,getRelation,int-int-int-int-int-int;public,void,getGeneralArray,java.lang.String-main.java.dynamicArray.dynamicArray;public,void,printResult,java.lang.String;public,java.util.List,getAllClass,java.lang.String;public,java.util.List,getAllClassRelation,java.lang.String;public,main.java.Dao.returnObject,getReturnObject,java.lang.String;public,void,getResult,java.lang.String||
new|Node1|CONSTRUCTION|main.java.method|generalResult|generalResult()|COMPLETE|129758470537|1||public,generalResult,|public static,java.lang.String,getRelation,int-int-int-int-int-int;public,void,getGeneralArray,java.lang.String-main.java.dynamicArray.dynamicArray;public,void,printResult,java.lang.String;public,java.util.List,getAllClass,java.lang.String;public,java.util.List,getAllClassRelation,java.lang.String;public,main.java.Dao.returnObject,getReturnObject,java.lang.String;public,void,getResult,java.lang.String||
new|Node1|COMMON|main.java.method|generalResult|getReturnObject(java.lang.String)|START|129758597156|1||public,generalResult,|public static,java.lang.String,getRelation,int-int-int-int-int-int;public,void,getGeneralArray,java.lang.String-main.java.dynamicArray.dynamicArray;public,void,printResult,java.lang.String;public,java.util.List,getAllClass,java.lang.String;public,java.util.List,getAllClassRelation,java.lang.String;public,main.java.Dao.returnObject,getReturnObject,java.lang.String;public,void,getResult,java.lang.String||
new|Node1|COMMON|main.java.method|generalResult|getGeneralArray(java.lang.String,main.java.dynamicArray.dynamicArray)|START|130026546281|1||public,generalResult,|public static,java.lang.String,getRelation,int-int-int-int-int-int;public,void,getGeneralArray,java.lang.String-main.java.dynamicArray.dynamicArray;public,void,printResult,java.lang.String;public,java.util.List,getAllClass,java.lang.String;public,java.util.List,getAllClassRelation,java.lang.String;public,main.java.Dao.returnObject,getReturnObject,java.lang.String;public,void,getResult,java.lang.String||
new|Node1|CONSTRUCTION|main.java.method|ReadXML|ReadXML()|START|130054810130|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|CONSTRUCTION|main.java.method|ReadXML|ReadXML()|COMPLETE|130054996553|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|START|130055070453|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|COMPLETE|130100900646|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|START|130101069415|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|COMPLETE|130102071749|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|START|130102191495|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|COMPLETE|130103371986|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|START|130103766251|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|COMPLETE|130105211001|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|START|130105310129|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.method|ReadXML|ReadXMLByTag(java.util.List,java.util.List,java.lang.String,java.lang.String)|COMPLETE|130124295504|1||public,ReadXML,|public,void,ReadXMLByTag,java.util.List-java.util.List-java.lang.String-java.lang.String||
new|Node1|COMMON|main.java.dynamicArray|dynamicArray|getSize()|START|130124482558|1|private,main.java.Dao.ClassNameNode[],data;private,int,size|public,dynamicArray,int;public,dynamicArray,|public,void,printAllNodeName,;public,main.java.Dao.ClassNameNode,getHeadNode,;public,java.util.List,getAllNode,;public,int,getSize,;public,int,getCapacity,;public,boolean,isEmpty,;public,void,addLast,main.java.Dao.ClassNameNode;public,void,addFirst,main.java.Dao.ClassNameNode;public,void,add,int-main.java.Dao.ClassNameNode;public,main.java.Dao.ClassNameNode,get,int;default,void,set,int-main.java.Dao.ClassNameNode;public,java.lang.String,toString,;public,boolean,contains,main.java.Dao.ClassNameNode;public,int,find,main.java.Dao.ClassNameNode;public,main.java.Dao.ClassNameNode,remove,int;public,void,removeElement,main.java.Dao.ClassNameNode;private,void,resize,int;public,main.java.Dao.ClassNameNode,getLast,;public,main.java.Dao.ClassNameNode,getFirst,;public,main.java.Dao.ClassNameNode,removeLast,;public,main.java.Dao.ClassNameNode,removeFirst,||
